R,G,B,cor
16,47,33,0
16,48,34,0
16,47,34,0
16,40,34,0
16,47,33,0
16,48,34,0
16,48,34,0
14,47,33,0
16,47,33,0
16,47,33,0
16,47,33,0
15,46,32,0
15,46,32,0
14,44,31,0
14,45,32,0
14,38,31,0
14,44,30,0
14,44,30,0
14,44,30,0
13,43,30,0
14,44,31,0
14,44,30,0
14,43,30,0
14,44,30,0
14,44,30,0
14,45,31,0
15,46,32,0
16,47,33,0
17,48,34,0
19,51,36,0
20,51,37,0
22,54,38,0
22,54,39,0
24,56,41,0
25,56,41,0
26,58,42,0
26,56,41,0
28,52,43,0
21,57,42,0
28,59,44,0
28,57,43,0
29,60,44,0
29,58,44,0
30,58,44,0
30,59,44,0
29,58,44,0
30,58,44,0
30,58,44,0
30,55,43,0
23,58,43,0
29,59,44,0
28,58,43,0
28,58,43,0
28,57,42,0
28,58,43,0
28,57,43,0
28,57,43,0
27,56,43,0
28,57,42,0
27,56,41,0
28,58,43,0
27,56,41,0
27,58,43,0
27,56,42,0
26,58,43,0
26,56,41,0
26,57,42,0
25,56,41,0
25,56,41,0
24,56,40,0
24,56,40,0
24,56,40,0
23,55,40,0
22,55,39,0
22,54,39,0
22,55,39,0
22,53,39,0
22,54,39,0
21,53,32,0
22,54,39,0
22,53,38,0
22,55,40,0
21,53,39,0
22,55,40,0
22,54,38,0
22,56,34,0
22,54,39,0
23,56,40,0
22,54,39,0
23,56,40,0
23,55,40,0
22,49,39,0
16,56,40,0
23,55,40,0
23,55,40,0
22,55,39,0
23,55,40,0
22,55,39,0
22,55,39,0
22,54,39,0
39,48,40,1
40,50,42,1
39,49,41,1
39,50,41,1
40,49,35,1
40,42,42,1
40,43,42,1
33,49,41,1
40,49,41,1
39,49,41,1
40,49,41,1
39,48,41,1
39,48,41,1
38,48,40,1
39,48,40,1
38,47,40,1
38,47,40,1
38,46,39,1
38,46,33,1
38,46,39,1
38,46,40,1
37,45,39,1
37,46,39,1
36,45,38,1
36,39,38,1
29,43,37,1
36,44,38,1
34,42,36,1
35,42,37,1
34,42,37,1
33,41,36,1
33,41,30,1
33,40,36,1
33,41,35,1
33,41,36,1
33,41,36,1
33,41,36,1
34,41,36,1
34,42,36,1
29,43,38,1
36,44,38,1
36,45,39,1
37,46,39,1
38,48,41,1
38,41,40,1
33,49,42,1
38,48,41,1
39,50,42,1
39,49,41,1
40,51,43,1
39,45,42,1
34,52,43,1
41,52,44,1
40,52,43,1
41,52,43,1
41,52,43,1
41,53,44,1
41,53,43,1
41,53,44,1
41,52,43,1
41,52,43,1
