R,G,B,cor
8444,5121,7833,0
12453,5706,8106,0
14141,5460,8145,0
14675,5425,8053,0
14354,5131,8315,0
14650,5307,8287,0
14169,5470,7891,0
14899,5710,8141,0
13697,5387,8378,0
13631,5444,8083,0
14443,5320,8220,0
13516,5389,8390,0
14403,5556,8045,0
13613,5448,8150,0
14242,5306,7794,0
14523,5514,8108,0
13783,5313,8126,0
13920,5483,7966,0
14213,5611,8430,0
14169,5236,8328,0
14315,5475,7823,0
14558,5052,8261,0
13569,5358,8180,0
14354,5455,8087,0
14305,5147,5839,0
13464,5406,8413,0
13702,5596,8022,0
14364,5084,8267,0
13456,5356,8376,0
13447,5575,8083,0
14644,5537,8310,0
13595,5476,7670,0
14624,5125,8158,0
13774,5399,8403,0
13456,5377,8045,0
14599,5625,7822,0
14089,5398,8292,0
15408,5409,8922,0
14583,5599,8258,0
14915,5328,8381,0
14533,5524,8839,0
14810,5726,8214,0
13824,5415,8469,0
15352,5474,8196,0
14742,5519,8232,0
13729,5398,8380,0
11841,5074,8108,0
13819,5417,8176,0
14093,5306,7645,0
12698,5630,7921,0
14563,5510,8228,0
13311,5402,7714,0
13920,5536,8141,0
13870,5310,8285,0
13806,5482,8021,0
13662,5667,7656,0
13617,5236,8331,0
13573,5391,7946,0
13967,5658,8228,0
13797,5347,8115,0
13378,5334,7931,0
13323,5562,7558,0
12748,5261,8217,0
12175,5405,7833,0
14553,5516,8169,0
12546,5205,8303,0
13119,5295,7943,0
13469,5375,7989,0
13319,5190,8214,0
13193,5254,7861,0
14271,5259,7958,0
13490,5664,8015,0
12760,5286,8019,0
13430,5126,7976,0
13460,5588,8166,0
13021,5264,7649,0
13582,5166,7878,0
13374,5615,8228,0
13720,5242,7718,0
13971,5567,7891,0
13653,5349,7573,0
14344,5389,8112,0
13289,5611,8090,0
13883,5268,7688,0
13538,5532,8025,0
13648,5207,8047,0
13349,5255,7927,0
14543,5545,8163,0
13920,5317,8177,0
13185,5513,7898,0
13315,5545,8258,0
13404,5311,7646,0
13464,5515,8031,0
13879,5504,8201,0
13298,5415,8451,0
14578,5508,8209,0
14438,5466,8322,0
13430,5587,7569,0
12961,5136,8193,0
13962,5455,8303,0
7116,8903,15213,1
7145,9037,19472,1
6377,8390,20078,1
6680,8703,17863,1
6915,9173,18859,1
6369,8929,19004,1
6505,8789,18315,1
6896,8456,19143,1
6184,8507,19490,1
6244,7972,17056,1
6181,8507,16200,1
5993,8528,17534,1
6234,8086,18624,1
6315,8272,13197,1
6676,8531,18396,1
6304,8187,18716,1
6341,8308,18935,1
6168,8769,16919,1
6398,8351,17246,1
6357,7924,17608,1
6434,8635,17008,1
6297,8230,17281,1
5996,8468,18355,1
6656,8271,15685,1
6660,8492,16422,1
6523,8427,17447,1
6627,7940,17893,1
6369,8605,17520,1
6362,8320,17232,1
6659,7888,17015,1
6189,8579,17225,1
6241,8193,17154,1
6605,7903,17947,1
6532,8208,19099,1
6457,7909,15586,1
6458,7990,17608,1
6721,8794,17637,1
6496,8307,18716,1
6541,8535,14831,1
6150,8315,17697,1
6596,8612,18741,1
6520,8266,17637,1
6189,8195,15703,1
6495,8582,17070,1
6102,8368,17253,1
6356,8315,17043,1
6454,8284,16156,1
6679,7961,17727,1
6175,8021,14310,1
6563,8048,17675,1
6109,8233,19021,1
6211,8442,18859,1
6397,8222,15522,1
6150,8172,17817,1
6159,8500,17795,1
6667,8607,19039,1
6302,8333,16974,1
6509,8544,17338,1
6738,8307,17652,1
6258,8190,17133,1
6085,7861,15990,1
6063,8184,19125,1
6470,8030,15448,1
6797,8796,16967,1
6219,8272,19039,1
6424,8500,17140,1
6346,8521,14478,1
6510,8169,18987,1
6482,8345,18567,1
6099,8083,17015,1
6430,8238,17022,1
6642,8490,17246,1
6742,8425,19108,1
6481,8204,17520,1
6252,8126,17310,1
6113,8380,19364,1
6406,8206,17578,1
6561,8727,17317,1
6734,8841,19134,1
6417,8343,18355,1
6706,8125,15386,1
6227,8271,17772,1
6559,8485,18641,1
6254,8487,17600,1
6272,8198,16926,1
6083,8612,17246,1
6280,8463,19073,1
6321,8230,17239,1
6510,7869,16384,1
6407,8616,18774,1
6242,8064,17253,1
6483,8153,16441,1
6106,8164,19409,1
6382,8233,17310,1
6591,8041,15235,1
6160,8219,17593,1
6701,8584,18339,1
6634,8403,19152,1
6074,8206,16994,1
6483,7931,17161,1
5704,6218,7207,2
5933,6511,7198,2
5830,5941,3587,2
5605,5983,7067,2
5835,6129,6102,2
5706,5821,6402,2
5365,5945,7067,2
4946,6108,6744,2
5584,6433,6524,2
5299,5827,7074,2
4800,6111,6779,2
5307,6235,6852,2
5406,3154,6931,2
5038,5989,6781,2
5339,6321,6666,2
5531,2988,7043,2
5172,6073,6625,2
5286,6208,6706,2
5449,3155,6937,2
4644,6083,6723,2
5313,6380,6477,2
5342,2555,6960,2
4995,6035,6464,2
2918,6188,6345,2
5364,6192,6920,2
5547,6052,6475,2
